model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,all_to_all,moderate_heterogeneity,5,3,True,True,True,True,True,0.002102,1.0,0.0,0.021587,0.004657,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,6,3,True,True,True,True,True,0.0,1.0,0.0,0.021905,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,7,3,True,True,True,True,True,0.0,1.0,0.0,0.021905,0.004661,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,8,3,True,True,True,True,True,0.002102,1.0,0.0,0.022222,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,9,3,True,True,True,True,True,0.002102,1.0,0.0,0.022222,0.004714,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,10,3,True,True,True,True,True,0.0,1.0,0.0,0.022857,0.004641,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,11,3,True,True,True,True,True,0.002102,1.0,0.0,0.021905,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,12,3,True,True,True,True,True,0.0,1.0,0.0,0.021587,0.004641,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,13,3,True,True,True,True,True,0.002102,1.0,0.0,0.021587,0.004657,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,14,3,True,True,True,True,True,0.002102,1.0,0.0,0.021905,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,15,3,True,True,True,True,True,0.002102,1.0,0.0,0.021905,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,16,3,True,True,True,True,True,0.0,1.0,0.0,0.022222,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,17,3,True,True,True,True,True,0.002102,1.0,0.0,0.022222,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,18,3,True,True,True,True,True,0.0,1.0,0.0,0.021905,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,19,3,True,True,True,True,True,0.002102,1.0,0.0,0.021587,0.004657,0.984841,full_group_sync
kuramoto,baseline,all_to_all,moderate_heterogeneity,20,3,True,True,True,True,True,0.0,1.0,0.0,0.021905,0.004696,0.984841,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,1,3,True,True,True,True,True,0.0,1.0,0.0,0.043333,0.003333,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,2,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,3,3,True,True,True,True,True,0.002055,1.0,0.0,0.042295,0.003252,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,4,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,5,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,6,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,7,3,True,True,True,True,True,0.002055,1.0,0.0,0.043,0.003317,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,8,3,True,True,True,True,True,0.002055,1.0,0.0,0.043,0.003317,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,9,3,True,True,True,True,True,0.002055,1.0,0.0,0.043,0.003317,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,10,3,True,True,True,True,True,0.002055,1.0,0.0,0.043333,0.003333,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,11,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,12,3,True,True,True,True,True,0.002055,1.0,0.0,0.043333,0.003333,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,13,3,True,True,True,True,True,0.002055,1.0,0.0,0.044,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,14,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,15,3,True,True,True,True,True,0.002055,1.0,0.0,0.044,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,16,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,17,3,True,True,True,True,True,0.002055,1.0,0.0,0.043279,0.003323,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,18,3,True,True,True,True,True,0.0,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,19,3,True,True,True,True,True,0.002055,1.0,0.0,0.042667,0.003266,0.945739,full_group_sync
kuramoto,baseline,all_to_all,strong_heterogeneity,20,3,True,True,True,True,True,0.002055,1.0,0.0,0.044,0.003266,0.945739,full_group_sync
kuramoto,baseline,chain,identical,1,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,2,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,3,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,4,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,5,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,6,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,7,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,8,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,9,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,10,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,11,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,12,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,13,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,14,3,True,True,True,True,True,0.002102,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,15,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,16,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,17,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,18,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,19,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,identical,20,3,True,True,True,True,True,0.0,1.0,0.0,0.006667,0.00333,0.998616,full_group_sync
kuramoto,baseline,chain,near_identical,1,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,2,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,3,3,True,True,True,True,True,0.0,1.0,0.0,0.02,0.00333,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,4,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,5,3,True,True,True,True,True,0.0,1.0,0.0,0.02,0.00333,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,6,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,7,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,8,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,9,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,10,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,11,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,12,3,True,True,True,True,True,0.0,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,13,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,14,3,True,True,True,True,True,0.0,1.0,0.0,0.02,0.00333,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,15,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,16,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,17,3,True,True,True,True,True,0.0,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,18,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,19,3,True,True,True,True,True,0.0,1.0,0.0,0.02,0.00333,0.987916,full_group_sync
kuramoto,baseline,chain,near_identical,20,3,True,True,True,True,True,0.002102,1.0,0.0,0.019683,0.004039,0.987916,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,1,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,2,3,True,True,True,True,True,0.0,1.0,0.0,0.033333,0.003299,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,3,3,True,True,True,True,True,0.0,1.0,0.0,0.032698,0.004293,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,4,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,5,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,6,3,True,True,True,True,True,0.0,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,7,3,True,True,True,True,True,0.0,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,8,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,9,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,10,3,True,True,True,True,True,0.0,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,11,3,True,True,True,True,True,0.002102,1.0,0.0,0.033333,0.00333,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,12,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,13,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,14,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,15,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,16,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,17,3,True,True,True,True,True,0.0,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,18,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,19,3,True,True,True,True,True,0.002102,1.0,0.0,0.033016,0.004039,0.966371,full_group_sync
kuramoto,baseline,chain,moderate_heterogeneity,20,3,True,True,True,True,True,0.0,1.0,0.0,0.033016,0.004024,0.966371,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,1,3,True,False,True,True,True,0.0,1.0,0.0,0.074286,0.072896,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,2,3,True,False,True,True,True,0.00209,1.0,0.0,0.074921,0.072406,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,3,3,True,False,True,True,True,0.00209,1.0,0.0,0.075238,0.07315,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,4,3,True,False,True,True,True,0.00209,1.0,0.0,0.075556,0.073232,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,5,3,True,False,True,True,True,0.00209,1.0,0.0,0.074921,0.072413,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,6,3,True,False,True,True,True,0.00209,1.0,0.0,0.074921,0.072406,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,7,3,True,False,True,True,True,0.00209,1.0,0.0,0.074603,0.072305,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,8,3,True,False,True,True,True,0.00209,1.0,0.0,0.075238,0.073157,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,9,3,True,False,True,True,True,0.00209,1.0,0.0,0.074603,0.072974,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,10,3,True,False,True,True,True,0.00209,1.0,0.0,0.074921,0.072406,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,11,3,True,False,True,True,True,0.00209,1.0,0.0,0.075238,0.073157,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,12,3,True,False,True,True,True,0.00209,1.0,0.0,0.074921,0.07305,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,13,3,True,False,True,True,True,0.00209,1.0,0.0,0.074603,0.072998,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,14,3,True,False,True,True,True,0.00209,1.0,0.0,0.074839,0.072777,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,15,3,True,False,True,True,True,0.00209,1.0,0.0,0.074921,0.073081,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,16,3,True,True,True,True,True,0.00209,1.0,0.0,0.062787,0.004415,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,17,3,True,True,True,True,True,0.00209,1.0,0.0,0.062787,0.004495,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,18,3,True,False,True,True,True,0.00209,1.0,0.0,0.075484,0.072923,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,19,3,True,False,True,True,True,0.00209,1.0,0.0,0.074286,0.072896,0.884997,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,20,3,True,False,True,True,True,0.00209,1.0,0.0,0.074921,0.07305,0.884997,full_group_sync
kuramoto,baseline,directed_chain,identical,1,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,2,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,3,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,4,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,5,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,6,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,7,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,8,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,9,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,10,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,11,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,12,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,13,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,14,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,15,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,16,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,17,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,18,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,19,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,20,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,near_identical,1,3,True,True,True,True,True,0.0,1.0,0.0,0.035,0.003503,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,2,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,3,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,4,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,5,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,6,3,True,False,True,True,True,0.0,1.0,0.0,0.049333,0.07659,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,7,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,8,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,9,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,10,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,11,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.003333,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,12,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.003333,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,13,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.003333,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,14,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,15,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,16,3,True,False,True,True,True,0.0,1.0,0.0,0.049667,0.07759,0.967895,full_group_sync
