model,variant,topology,freq_set,n_agents,n_trials,zero_lag_group_sync_success_rate,phase_locked_group_success_rate,phase_sync_success_rate,frequency_lock_success_rate,one_to_one_flash_lock_success_rate,mean_final_frequency_spread_hz,mean_flash_count_ratio,mean_extra_flash_rate_hz,mean_mean_pairwise_timing_error_s,mean_mean_pairwise_offset_jitter_s,mean_mean_order_parameter_R,dominant_diagnostic
kuramoto,baseline,local_degree_2_3,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.000614,1.0,0.0,0.033807,0.003316,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,5,10,0.0,0.4,0.0,1.0,1.0,0.001846,1.0,0.0,0.100815,0.038427,0.667779,phase_not_synchronised
kuramoto,baseline,local_ring_5,n5_near_identical,5,10,1.0,1.0,1.0,1.0,1.0,0.000629,1.0,0.0,0.028548,0.004204,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,5,10,0.0,0.0,0.0,0.0,0.0,0.400772,1.2105,0.4,0.104507,0.09267,0.519913,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,chain_5,n5_near_identical,5,10,0.0,0.0,0.0,0.0,1.0,0.297619,1.1667,0.3,0.149424,0.132984,0.963856,frequency_not_locked
pco_adaptive_prc,adaptive_prc,chain_5,n5_strong_heterogeneity,5,10,0.0,0.0,0.0,0.0,0.0,0.878597,1.6,0.9,0.124023,0.132685,0.965603,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_degree_2_3,n5_near_identical,5,10,0.0,0.0,0.0,0.0,0.0,0.381468,1.2222,0.4,0.146368,0.139521,0.96455,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_degree_2_3,n5_strong_heterogeneity,5,10,0.0,0.0,0.0,0.0,0.0,0.78019,1.5333,0.8,0.129943,0.137041,0.965623,extra_flashes_or_harmonic_locking
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_near_identical,5,10,0.0,0.0,0.0,0.0,1.0,0.201733,1.1111,0.2,0.154921,0.133733,0.963932,frequency_not_locked
pco_adaptive_prc,adaptive_prc,local_ring_5,n5_strong_heterogeneity,5,10,0.0,0.0,0.0,0.0,0.0,0.907463,1.6667,1.0,0.122069,0.13215,0.965824,extra_flashes_or_harmonic_locking
pco_simple,simple,chain_5,n5_near_identical,5,10,0.0,0.0,1.0,0.0,0.0,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,5,10,0.0,0.0,1.0,0.0,0.0,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,5,10,0.0,0.0,1.0,0.0,0.0,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_strong_heterogeneity,5,10,0.0,0.0,1.0,0.0,0.0,1.379258,1.9333,1.4,0.086495,0.107113,0.9678,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,5,10,0.0,0.0,1.0,0.0,0.0,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,5,10,0.0,0.0,1.0,0.0,0.0,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
